loss,run_time,iteration,bptt,hidden_size,num_components,delta,ndcg,window_hours
-0.00290574475134711,364.79138565063477,0,2.0,226.0,242.0,4648757.241699202,0.00290574475134711,1291.321456027556
-0.010996317877657369,367.475323677063,1,9.0,196.0,202.0,14842041.758618113,0.010996317877657369,4122.78937739392
-0.015589806088048386,176.53287172317505,2,8.0,69.0,63.0,21119116.326192,0.015589806088048386,5866.42120172
-0.0145915361675743,289.40724444389343,3,8.0,106.0,277.0,24395265.926298667,0.0145915361675743,6776.462757305185
-0.010581141175454986,251.48433637619019,4,1.0,105.0,146.0,19140743.458304998,0.010581141175454986,5316.8731828625
-0.013493079418876633,885.4102871417999,5,9.0,75.0,146.0,451550776.38182634,0.013493079418876633,125430.77121717398
-0.00991669762712881,1431.6084377765656,6,6.0,149.0,292.0,406450771.5003369,0.00991669762712881,112902.99208342691
-0.01062512313632191,238.71749639511108,7,9.0,130.0,70.0,7246578.188409877,0.01062512313632191,2012.9383856694103
-0.0022656082405588117,336.2970039844513,8,5.0,215.0,74.0,3214546.8050966286,0.0022656082405588117,892.9296680823968
-0.009999014648738216,675.131965637207,9,6.0,228.0,220.0,42846700.84391537,0.009999014648738216,11901.861345532048
-0.013170639168445266,209.04569387435913,10,5.0,93.0,262.0,16121552.202917308,0.013170639168445266,4478.208945254808
-0.009601506574488328,352.1693251132965,11,4.0,213.0,120.0,7636875.126378509,0.009601506574488328,2121.354201771808
-0.009621717529494178,974.2786192893982,12,7.0,234.0,178.0,63966688.717496715,0.009621717529494178,17768.524643749086
-0.010392179493072199,225.1615207195282,13,4.0,62.0,58.0,43493003.24903256,0.010392179493072199,12081.389791397933
-0.010390288819559855,492.30895471572876,14,2.0,216.0,200.0,30047827.92748883,0.010390288819559855,8346.618868746897
-0.00025105345670618524,2102.3781654834747,15,5.0,221.0,74.0,612310145.4967465,0.00025105345670618524,170086.15152687405
-0.01150472480791283,389.74756264686584,16,3.0,199.0,61.0,21679643.361938484,0.01150472480791283,6022.123156094023
-0.007209537319038978,1280.5366785526276,17,3.0,235.0,269.0,95221943.97802539,0.007209537319038978,26450.53999389594
-0.0030340963413612696,201.21550869941711,18,7.0,109.0,88.0,3218955.3875860316,0.0030340963413612696,894.1542743294532
-0.009913339904547855,607.1513197422028,19,6.0,142.0,194.0,62166290.0562548,0.009913339904547855,17268.413904515222
-0.009682362802389566,658.0442543029785,20,8.0,61.0,298.0,158413284.2699565,0.009682362802389566,44003.69007498791
-0.005798067970193422,288.10471987724304,21,10.0,168.0,116.0,9424952.534634084,0.005798067970193422,2618.04237073169
-0.010712706640192683,628.2524201869965,22,8.0,80.0,230.0,125475784.50916827,0.010712706640192683,34854.38458588008
-0.010441218084016206,598.2441654205322,23,8.0,51.0,115.0,226003667.7075423,0.010441218084016206,62778.79658542842
-0.006056174518599422,243.94090962409973,24,10.0,128.0,163.0,10018812.750840249,0.006056174518599422,2783.003541900069
-0.011567004023210816,336.8113043308258,25,7.0,112.0,268.0,33213078.34094103,0.011567004023210816,9225.855094705841
-0.008783195455190032,166.6733820438385,26,10.0,88.0,93.0,5211260.753635309,0.008783195455190032,1447.5724315653636
-0.007390376234748114,301.09371399879456,27,8.0,176.0,135.0,11830050.782742938,0.007390376234748114,3286.1252174285937
-0.01289868532107388,223.2352819442749,28,9.0,70.0,246.0,28777554.195173886,0.01289868532107388,7993.765054214969
-0.007377718228888903,226.6861047744751,29,7.0,125.0,288.0,5442533.419693138,0.007377718228888903,1511.8148388036495
-0.01240658471586046,356.82501339912415,30,9.0,51.0,169.0,70441329.39550142,0.01240658471586046,19567.03594319484
-0.013542016366557844,260.3327658176422,31,8.0,97.0,223.0,22764272.21593337,0.013542016366557844,6323.408948870381
-0.014574699964504514,317.3352189064026,32,10.0,163.0,184.0,15155163.563836273,0.014574699964504514,4209.767656621187
-0.007629601854020482,505.2215929031372,33,9.0,117.0,249.0,49979235.40491818,0.007629601854020482,13883.120945810606
-0.011298825236608408,806.7112054824829,34,7.0,82.0,152.0,225971311.75027245,0.011298825236608408,62769.80881952013
-0.017071590968174604,237.83081650733948,35,6.0,100.0,209.0,20074944.22202144,0.017071590968174604,5576.373395005955
-0.016731374091489018,207.18398118019104,36,6.0,98.0,206.0,12558455.431652954,0.016731374091489018,3488.4598421258206
-0.013493608114077118,267.2833433151245,37,4.0,145.0,213.0,12731662.138320947,0.013493608114077118,3536.572816200263
-0.003981762501290096,184.85577058792114,38,6.0,98.0,233.0,3911984.1624252307,0.003981762501290096,1086.662267340342
-0.0047323654987730945,397.7283205986023,39,5.0,249.0,206.0,7069565.406949089,0.0047323654987730945,1963.7681685969692
-0.0016393594964773386,228.67255067825317,40,3.0,139.0,186.0,2728526.0877739587,0.0016393594964773386,757.9239132705441
-0.010783526706662492,265.1491868495941,41,4.0,120.0,253.0,19714614.6230059,0.010783526706662492,5476.281839723862
-0.009353718228831562,265.74669432640076,42,6.0,158.0,283.0,7126022.081029525,0.009353718228831562,1979.450578063757
-0.016866336237251457,269.27659726142883,43,5.0,136.0,162.0,16709430.96903681,0.016866336237251457,4641.508602510225
-0.009587763093603643,465.2231330871582,44,2.0,185.0,162.0,36448748.87764996,0.009587763093603643,10124.652466013878
-0.012342732656273841,769.1175837516785,45,5.0,137.0,134.0,90468517.29854111,0.012342732656273841,25130.143694039198
-0.009924559132763675,432.0019052028656,46,4.0,196.0,105.0,27776485.82505519,0.009924559132763675,7715.690506959775
