loss,run_time,iteration,alpha,gamma,L,l2_embedding,l2_bias,substring_max_length,substring_min_count,num_components,delta,ndcg,window_hours
-0.0002168209886612035,3449.9352102279663,0,0.7165469969793511,0.3361294613534179,14.0,0.42267508961794525,0.38174894568822604,2.0,129.0,22.0,6008789.676172833,0.0002168209886612035,1669.1082433813424
-4.5089529462196676e-05,1713.5085349082947,1,0.7887394636787801,0.47626300300020274,7.0,0.024876448902011853,0.3569711050018368,2.0,670.0,39.0,103804.21339302261,4.5089529462196676e-05,28.834503720284058
-0.00015267192146254296,2595.660156726837,2,0.761477991437768,0.1017580815607545,3.0,0.26778794915863813,0.4709019623799762,1.0,961.0,37.0,3729763.2079242733,0.00015267192146254296,1036.0453355345203
-0.00404830792171777,5504.976355075836,3,0.7057854808416336,0.8760086263280961,3.0,0.10565687517579207,0.05550796477454831,3.0,447.0,28.0,11148764.17482922,0.00404830792171777,3096.8789374525613
-6.199741532835052e-05,1661.8755311965942,4,0.8311924166619719,0.58931578737391,9.0,0.28724043205786187,0.2526176388732826,1.0,763.0,47.0,2822.3589228759233,6.199741532835052e-05,0.7839885896877565
-0.0005811764151106409,1763.1370282173157,5,0.9693184362086684,0.6206779457785523,9.0,0.476918073384917,0.4590238164449702,3.0,4.0,18.0,212285.37105598193,0.0005811764151106409,58.96815862666165
-0.005714491574911483,1748.9522244930267,6,0.9511275001221113,0.7789016364324975,3.0,0.14911266207576035,0.08988069813618418,3.0,364.0,30.0,138433.07414028782,0.005714491574911483,38.45363170563551
-0.00026587767918159527,1708.5838415622711,7,0.7937763857477423,0.4223046060062995,12.0,0.12529451502939246,0.2923207316640264,3.0,283.0,32.0,89867.16936981597,0.00026587767918159527,24.963102602726657
-0.00011824867197996737,2267.5070152282715,8,0.8495969184438258,0.6901971929344827,11.0,0.06493086432978261,0.21112830404482222,1.0,793.0,39.0,2393120.84711898,0.00011824867197996737,664.7557908663832
-8.062805249896515e-05,1654.5705893039703,9,0.7347158809535196,0.15498924727568575,5.0,0.09842433738598094,0.08644454897318234,1.0,210.0,28.0,18180.763978683433,8.062805249896515e-05,5.050212216300953
-2.3411823949032673e-05,1676.6194972991943,10,0.9395408815364621,0.7563424920691905,8.0,0.4500896799567902,0.302661804849897,2.0,330.0,24.0,2795.274435636494,2.3411823949032673e-05,0.7764651210101373
-5.502817326498146e-05,1668.2260529994965,11,0.7318916097974347,0.2976687892844312,3.0,0.17382749758441804,0.41013064598918036,2.0,596.0,24.0,4513.754808168809,5.502817326498146e-05,1.2538207800468915
-5.45815578191755e-05,1675.4302587509155,12,0.8959047865373441,0.3720865444622059,9.0,0.24129061426696483,0.21216546323082114,3.0,209.0,17.0,3037.8858300822203,5.45815578191755e-05,0.843857175022839
-0.0005716802348149176,1945.3962502479553,13,0.890434062582349,0.6483459170655149,14.0,0.06131032796763434,0.3871654670946877,2.0,950.0,18.0,704707.482417503,0.0005716802348149176,195.7520784493064
-0.0005991862556552504,1749.933278799057,14,0.9672351087042602,0.7605740143205048,3.0,0.17156594360069305,0.32400902828389455,2.0,866.0,35.0,138845.1071028967,0.0005991862556552504,38.568085306360196
-8.970532450926402e-05,4036.7955527305603,15,0.8323805406239542,0.6042406214176381,13.0,0.4054435791601686,0.40476653161116777,3.0,978.0,26.0,7801171.561763161,8.970532450926402e-05,2166.992100489767
-0.00032653543350480993,2898.4064683914185,16,0.9481439571700968,0.7074752549874483,12.0,0.4117830899301585,0.38539715509628863,3.0,376.0,16.0,4101788.7734293696,0.00032653543350480993,1139.385770397047
-0.003752231432025668,4223.577992677689,17,0.9912688945121106,0.9297573806643104,11.0,0.38733708798629024,0.032928100984996655,2.0,280.0,19.0,8560389.781803692,0.003752231432025668,2377.8860505010257
